pid,creator,location,label,_date,description,current_location,source,order,layout,collection,thumbnail,manifest,full
obj35,,"Brooklyn, NY",University Workshop Offered to High School Students By Pratt Black Students' Union,"February 9, 1972","Press release for a day-long workshop on February 11, 1972, sponsored by the Black Student Union. The workshop intended to expose NYC high school students to the college experience.","Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",https://www.jstor.org/stable/10.2307/community.28750068,34,protest_item,protest,"/img/derivatives/iiif/images/obj35_1/full/250,/0/default.jpg",/img/derivatives/iiif/obj35/manifest.json,"/img/derivatives/iiif/images/obj35_1/full/1140,/0/default.jpg"
obj36,,"Brooklyn, NY",Campaign Culture: Pratt Summer 1968,1968,poster,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",,35,protest_item,protest,"/img/derivatives/iiif/images/obj36/full/250,/0/default.jpg",/img/derivatives/iiif/obj36/manifest.json,"/img/derivatives/iiif/images/obj36/full/1140,/0/default.jpg"
obj37,,"Brooklyn, NY",Press Release: 375 Bedford Stuyvestant Students Begin Special Summer Courses,"July 16, 1969",press release,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",,36,protest_item,protest,"/img/derivatives/iiif/images/obj37_1/full/250,/0/default.jpg",/img/derivatives/iiif/obj37/manifest.json,"/img/derivatives/iiif/images/obj37_1/full/1140,/0/default.jpg"
obj38,,"Brooklyn, NY",Brochure: Summer Youth Skills Discovery & Development Project Pratt Institute 1973,1973,brochure,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",,37,protest_item,protest,"/img/derivatives/iiif/images/obj38/full/250,/0/default.jpg",/img/derivatives/iiif/obj38/manifest.json,"/img/derivatives/iiif/images/obj38/full/1140,/0/default.jpg"
obj39,,"Brooklyn, NY",Words: Pratt Youth Skills Disocvery & Development Project,1977,"Excerpts from Words, a program for the Youth Skills Discovery &amp; Development Art Exhibition at Pratt Institute","Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",,38,protest_item,protest,"/img/derivatives/iiif/images/obj39_1/full/250,/0/default.jpg",/img/derivatives/iiif/obj39/manifest.json,"/img/derivatives/iiif/images/obj39_1/full/1140,/0/default.jpg"
obj40,,"Brooklyn, NY",Brochure 1982,1982,,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",,39,protest_item,protest,"/img/derivatives/iiif/images/obj40/full/250,/0/default.jpg",/img/derivatives/iiif/obj40/manifest.json,"/img/derivatives/iiif/images/obj40/full/1140,/0/default.jpg"
obj41,,"Brooklyn, NY",Balancing the Desire to Create,2019,"Poster for the event ""Balancing the Desire to Create"", sponsored by Black Student Union.","Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",,40,protest_item,protest,"/img/derivatives/iiif/images/obj41/full/250,/0/default.jpg",/img/derivatives/iiif/obj41/manifest.json,"/img/derivatives/iiif/images/obj41/full/1140,/0/default.jpg"
obj42,,"Brooklyn, NY",Anti-Racism Resources,"June 16, 2020",instagram post,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",,41,protest_item,protest,"/img/derivatives/iiif/images/obj42/full/250,/0/default.jpg",/img/derivatives/iiif/obj42/manifest.json,"/img/derivatives/iiif/images/obj42/full/1140,/0/default.jpg"
obj43,,"Brooklyn, NY","Diversity, Equity, and Inclusion at Pratt: Next Steps",,"Social media post (Instagram) about Diversity, Equity, and Inclusion at Pratt and what the next steps to take are.","Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",,42,protest_item,protest,"/img/derivatives/iiif/images/obj43/full/250,/0/default.jpg",/img/derivatives/iiif/obj43/manifest.json,"/img/derivatives/iiif/images/obj43/full/1140,/0/default.jpg"
obj44,,"Brooklyn, NY","Student Government Association Instagram Post, June 4, 2020","June 4, 2020","Social media post (Instagram) about Diversity, Equity, and Inclusion at Pratt and what the next steps to take are.","Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)","https://www.jstor.org/stable/10.2307/community.Pratt%20Institute%20Archives,%20Pratt%20Institute%20Library%20(Brooklyn,%20New%20York,%20United%20States)",43,protest_item,protest,"/img/derivatives/iiif/images/obj44/full/250,/0/default.jpg",/img/derivatives/iiif/obj44/manifest.json,"/img/derivatives/iiif/images/obj44/full/1140,/0/default.jpg"
obj45,,"Brooklyn, NY",Community Dialogue: Campus Safety and the NYPD,"June 18, 2020",social media post,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",,44,protest_item,protest,"/img/derivatives/iiif/images/obj45/full/250,/0/default.jpg",/img/derivatives/iiif/obj45/manifest.json,"/img/derivatives/iiif/images/obj45/full/1140,/0/default.jpg"
obj46,,"Brooklyn, NY",Pratt SGA Demands to the Administration,"June 9, 2020",Social media post,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",,45,protest_item,protest,"/img/derivatives/iiif/images/obj46/full/250,/0/default.jpg",/img/derivatives/iiif/obj46/manifest.json,"/img/derivatives/iiif/images/obj46/full/1140,/0/default.jpg"
obj47,,"Brooklyn, NY","Black Lives Matter Teach-in, April 8-9, 2016",April 2016,pamphlet,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",https://www.jstor.org/stable/10.2307/community.29284244,46,protest_item,protest,"/img/derivatives/iiif/images/obj47/full/250,/0/default.jpg",/img/derivatives/iiif/obj47/manifest.json,"/img/derivatives/iiif/images/obj47/full/1140,/0/default.jpg"
